,Motility,Persistance,AutoSlope,P-val,Lambda,Max_act,Speed
0,0.0,0.0,,,1357,10,0.0
1,0.0,0.0,,,1357,10,0.0
2,0.0,0.0,,,1357,10,0.0
3,735.1784686228679,58981.29857161671,-0.00048552105187366155,0.012629180560302206,1357,1256,0.15322620010584975
4,5.93088009880278,591.3686534310189,-7.140974191274724e-05,0.6561855949934259,1357,1256,0.16818542827726043
5,166.8617694879645,10878.73670392401,-0.000237376873251169,0.09007924389107988,1357,1256,0.21440281648164378
6,0.5382283460902341,42.38349935518664,0.013674088635880082,0.8686539082129479,1357,158,0.0064355760956099324
7,31.427020877993883,2623.625209994541,0.11300786341686653,0.2137473112775945,1357,158,0.00659846982445648
8,0.10387778118473727,11.468316441030419,0.07233324491258154,0.3259038168291009,1357,158,0.007081926650731283
9,0.0,0.0,,,1357,19,6.122345617845984e-05
10,0.0,0.0,,,1357,19,8.962196302604707e-05
11,0.0,0.0,,,1357,19,8.341095536404668e-05
12,348.85775856698734,37020.98051379407,0.00021564139151847127,0.1757670587201225,1357,2506,0.16476753862575408
13,341.3863927544277,60775.15815822091,-2.104100503273636e-05,0.9039478368612122,1357,2506,0.12698791308015833
14,67.28892046877876,3908.676665652955,0.00010928890653634705,0.48064343133195875,1357,2506,0.2258385350022572
15,110.16287511677277,10262.678771918248,-0.0049993019758571376,0.1450829333584619,1357,315,0.021842189413032658
16,5.834550003186321,577.2787148328032,-0.0027000093481213826,0.7686808178448481,1357,315,0.01667378158860004
17,112.24918805463248,7513.406484887462,-0.018167049592378894,0.012582862424649198,1357,315,0.01949467622698466
18,0.0,0.0,,,1357,39,0.0010325072953767456
19,69.87077583949929,4023.4204466604915,-0.00019615784587542838,0.1695892155232908,1357,4999,0.22897164017916796
20,45.388516940096245,2400.2551249303224,8.588471824912938e-05,0.6142799766646418,1357,4999,0.23550410478660516
21,24.600146320631772,2404.5812533286676,0.0001959808858572856,0.22081848996274162,1357,4999,0.17427513112439083
22,1.877169133306308,338.70889712714256,0.0005754006548744901,0.8697267976484514,1357,629,0.01802952540624213
23,17.784350159423763,1245.0478673392606,-0.00024073690223595697,0.49375809327326003,1357,629,0.06592985488238354
24,246.71328764226843,21033.545317912427,0.0021034613461964956,0.5593387772776481,1357,629,0.03382433062946674
25,0.08819725951688427,8.28200206802794,,,1357,79,0.002520303802343336
26,0.1234338677808697,6.408588312174207,,,1357,79,0.002926096296026702
27,0.041395084888287706,3.385792422518638,,,1357,79,0.0022174005627469988
28,0.0,0.0,,,1893,10,0.0
29,36.14467134011758,1751.7547124610535,0.00010292218223240595,0.5949400290669542,1893,1256,0.24531712110574622
30,1283.5458984704976,55457.84312800353,0.00012795510700409037,0.43264161454115546,1893,1256,0.2614075496882521
31,1217.732243310635,48861.719328126106,0.00018128597922832223,0.32043802637475033,1893,1256,0.2726766301294382
32,144.73489555113096,6751.481795867056,-0.000352885691436851,0.05642750946770414,1893,2506,0.24974192476188023
33,667.7058852720394,33380.64126930829,-4.2985409154161075e-05,0.7931805376486014,1893,2506,0.24415803243904094
34,807.7113117494321,64792.64354186694,-2.887459986944812e-05,0.8689186308505185,1893,2506,0.18828765582766183
35,30.265662021318757,1430.8234159152544,-0.0018791572374208256,1.325850132982724e-07,1893,315,0.0743641298227054
36,6.019161078437417,426.5105836690095,-0.0008660886675856002,0.06641048013225963,1893,315,0.04946001786154724
37,12.092358738995635,356.5797638030306,0.00015388615043701462,0.7464360075142171,1893,315,0.0745480403101288
38,0.0,0.0,,,1893,39,0.0011776332988261999
39,0.0,0.0,,,1893,39,0.0005647499654810663
40,0.0,0.0,,,1893,39,0.000562487787142339
41,61.24652718840632,3331.6417370163067,-0.0002184696402823729,0.19004543327764345,1893,4999,0.23462027495448923
42,45.163243077095196,2050.821113691157,-8.071652143429558e-05,0.6575271412738177,1893,629,0.2566630472010794
43,370.717614181149,15570.064936894363,0.0002679873262414003,0.08954514912295587,1893,629,0.2651000843891367
44,705.8216529333992,35155.40717835499,8.815627022325234e-05,0.6081134431395532,1893,629,0.242504798275392
45,43.65513197016188,2688.701418318409,,,1893,79,0.004350119580465963
46,14.200068254450619,1336.1894255290229,,,1893,79,0.003193582535707845
47,5.374244644301808,592.1187783105182,,,1893,79,0.0025681216301588297
48,0.0,0.0,,,499,10,0.0
49,0.0,0.0,,,499,10,0.0
50,0.0,0.0,,,499,10,0.0
51,0.9093257557547312,245.4147302556785,0.00024197023201127246,0.6365175607156772,499,1256,0.021159015854616506
52,1.6739115914950273,410.2841396448703,0.00022268806670933014,0.6734402326381125,499,1256,0.027850528806692247
53,144.8143720286424,29550.122543924328,-0.002973830459212538,0.48203474948728153,499,1256,0.016918567210658278
54,0.004655004758333449,2.1833922272414035,,,499,158,0.0011644618702527053
55,0.0,0.0,,,499,158,0.0
56,0.015511918277516747,3.6806637225466394,,,499,158,0.001492853109352958
57,0.0,0.0,,,499,19,0.0
58,0.0,0.0,,,499,19,0.0
59,0.0,0.0,,,499,19,0.0
60,100.77791044355423,31791.200046899812,7.297147039481226e-05,0.7374317111762423,499,2506,0.04984077847121976
61,319.18864759549547,65455.914130331446,8.271593370987668e-05,0.7555208063460414,499,2506,0.05949540281334747
62,30.768178659998927,6455.724832001095,0.00011318405847623014,0.7275133761282968,499,2506,0.06252829804477512
63,25.77590346753523,4307.365654938871,0.05495336947031459,0.31014501911487,499,315,0.00570331897869355
64,0.0,0.0,,,499,39,0.00015862150818137132
65,0.0,0.0,,,499,39,0.00022301803971007132
66,0.0,0.0,,,499,39,0.00031907708475290437
67,175.08139365788873,44821.77356047923,-1.8787813048022718e-05,0.9043505508214317,499,4999,0.10624060460295928
68,14.892709226282628,3097.349428928097,-0.0001556857568515168,0.3356433813203571,499,4999,0.11863365505695644
69,1.992739962110802,522.9711071650119,-0.0002270690747084903,0.18616036796201002,499,4999,0.1031869208331826
70,52.22891320160946,12605.836804852337,0.004871505106668891,0.4396296810414764,499,629,0.012900912548414124
71,2.966089820519958,845.2816658421477,0.003601227352666898,0.6483048235513842,499,629,0.011578388772532132
72,78.10597384516448,23947.869714064727,-0.00027847312013588545,0.9680900344042005,499,629,0.009997112476485678
73,0.0,0.0,,,499,79,0.0010311430672553155
74,0.0,0.0,,,499,79,0.0006712116476340759
75,0.0,0.0,,,499,79,0.0008040118787699963
76,0.0,0.0,,,697,10,0.0
77,4.753059432345309,956.268390206305,0.0003338104642863415,0.3037026013202374,697,1256,0.036919305993039386
78,4.194850258018596,740.6388835975774,0.0002571501041539803,0.40246003207733083,697,1256,0.051969295535553954
79,257.60970095102044,42817.99234350176,1.2170846985567562e-05,0.9675563582702881,697,1256,0.044445997490362266
80,92.4254058125617,17096.760423141386,2.183668581183796e-05,0.9092257998661147,697,2506,0.09951993726297402
81,16.964880817230988,2484.257907748113,0.00019299027549385124,0.3051852911681755,697,2506,0.13203462276565112
82,318.48243303332083,49500.00744399514,1.0536978291330739e-05,0.961052847252529,697,2506,0.08283101786347676
83,51.742578711721514,7587.443887323601,-0.007971231281851034,0.6619732394867941,697,315,0.009549294632438232
84,0.18277436693616883,40.1793867939753,0.014044291058255701,0.5118947845653239,697,315,0.007691523690195292
85,4.5946676337951065,744.1821088989444,0.015639237744655143,0.5592593624723617,697,315,0.008201970498949778
86,0.0,0.0,,,697,39,0.00031267198955429255
87,222.08814425800503,30420.84035964554,-5.683301537899278e-05,0.7125875445037199,697,4999,0.14586946351113528
88,82.78272180842863,21297.975528107043,9.662111009096367e-05,0.6159364310322253,697,4999,0.09235513162569566
89,314.6836922441649,37597.09497147957,5.190400275033168e-05,0.7533705386825649,697,4999,0.15798036793953826
90,51.40417546439522,7385.487278160268,0.00667317110032415,0.3355509216588777,697,629,0.017453389500549078
91,34.7631760134491,9933.066423108574,0.003627738785078929,0.4611307510654692,697,629,0.012624553235440239
92,75.49501943586652,9850.41124407966,-0.0014173858072238218,0.7232161614836977,697,629,0.02031109088539521
93,31.747941740561338,5864.750528774667,0.00011918473003888675,0.7904213041502729,972,1256,0.03264005122353087
94,9.380628870113066,1151.5196849035667,5.759011389150678e-05,0.8589723767013845,972,1256,0.05733626475476616
95,253.98136081858564,37150.789256142394,-0.00012262737090477395,0.7100809681049813,972,1256,0.05132797893986076
96,17.529510786857685,2249.7889419874305,0.03101885922867832,0.5678452162741556,972,158,0.004789900841070884
97,1.538680181595152,162.5512879401957,0.10824971263064426,0.224774218244867,972,158,0.004983780544639775
98,3.8655757815027343,454.61128495218844,0.043186201029041374,0.7987626360513644,972,158,0.004674777609302707
99,0.0,0.0,,,972,19,2.9873987675320724e-05
100,0.0,0.0,,,972,19,9.717944005248241e-05
101,0.0,0.0,,,972,19,0.0
102,170.34753157427946,28574.194669120767,0.000121481136438536,0.5215737145592576,972,2506,0.09476780440427048
103,23.765608948142205,3036.157664004975,0.00025897730822641225,0.16483478661984793,972,2506,0.15304339267336264
104,1.9408050804800998,266.35375715368104,-8.087474056199171e-06,0.9771434247510862,972,2506,0.07391840720424017
105,39.63749574509141,6290.150531081587,0.009514036193401383,0.688477351778886,972,315,0.009303734774633183
106,43.091053386732234,5090.93955472843,-0.009804698482948394,0.6626548177171271,972,315,0.009803716048563902
107,33.86667580644654,4955.966029463714,0.010195870311402747,0.7839643859729954,972,315,0.007644140814385523
108,0.0,0.0,,,972,39,0.00033030515228974513
109,0.0,0.0,,,972,39,0.0006947976517353667
110,0.0,0.0,,,972,39,0.00032324984273602306
111,1.2166416128211706,166.48385923789138,0.0016630040110319295,0.5184191303996271,972,629,0.027552038144274617
112,0.011026172184563114,1.2176922501425662,,,972,79,0.0015016207636054102
113,0.09938428609102262,9.981775588657436,,,972,79,0.0019151194817026169
114,0.020376944615545213,2.042447355746978,,,972,79,0.0017405638696303388
